fft_size,solution_id,chromosome,config_type,power_W,area_LUTs,crit_delay_ns,sqnr_dB,balance_score
2.0,1.0,01,Mixed Precision,0.07,680.0,20.734,41.4807,1.0
4.0,4.0,0100,Mixed Precision,0.072,753.0,24.05,25.7769,0.5226687901435211
8.0,1.0,000001,Mixed Precision,0.073,792.0,24.299,25.9146,0.8446135179877219
16.0,24.0,11011111,Mixed Precision,0.073,1107.0,35.396,21.5053,0.7303290083147331
32.0,28.0,1111111110,Mixed Precision,0.073,1184.0,35.309,22.1489,1.0352984189964676
64.0,24.0,110111111111,Mixed Precision,0.073,1181.0,35.49,20.5344,0.6247307884311358
128.0,25.0,11110111111111,Mixed Precision,0.073,1192.0,35.49,20.8597,0.5928665608594299
256.0,28.0,1111110111111111,Mixed Precision,0.073,1206.0,35.013,20.504,0.6209325331328513
512.0,25.0,111111011111111111,Mixed Precision,0.073,1238.0,35.49,20.2249,1.118033988749895
1024.0,1.0,00001111111111111110,Mixed Precision,0.073,1307.0,35.487,17.9173,0.8909090909090909
