Metric,Value
design_name,probe_fp8x0
top_module,probe_fp8x0_top
lut_count,505
lutram_count,39
dsp_count,6
bram_count,4
ff_count,128
io_count,0
total_power_w,0.093
wns_ns,-5.718
critical_path_delay_ns,15.718
clock_period_ns,10.0
dynamic_power_w,0.025
static_power_w,0.069
saif_used,0
opt_design_ran,1
fmax_mhz,63.6213258684311
dsp48_primitives,6
use_dsp,1
kept_fp4_mul,4
kept_fp8_mul,0
kept_fp4_cmul,1
kept_fp8_cmul,0
kept_fp4_add_sub,0
kept_fp8_add_sub,0
kept_fp4_complex_add_sub,0
kept_fp8_complex_add_sub,0
kept_butterfly_wrapper,1
kept_butterfly_wrapper_gated,0
kept_complex_fp8_to_fp4,0
kept_complex_fp4_to_fp8,0
