Metric,Value
design_name,probe_fp8x8
top_module,probe_fp8x8_top
lut_count,1276
lutram_count,76
dsp_count,10
bram_count,4
ff_count,145
io_count,0
total_power_w,0.127
wns_ns,-24.874
critical_path_delay_ns,34.873999999999995
clock_period_ns,10.0
dynamic_power_w,0.058
static_power_w,0.069
saif_used,1
saif_read,1
saif_strip_path,tb_fft_power/uut
dynamic_power_vectorless_w,0.038
opt_design_ran,1
fmax_mhz,28.674657337844817
dsp48_primitives,10
use_dsp,1
kept_fp4_mul,4
kept_fp8_mul,4
kept_fp4_cmul,1
kept_fp8_cmul,1
kept_fp4_add_sub,0
kept_fp8_add_sub,2
kept_fp4_complex_add_sub,0
kept_fp8_complex_add_sub,0
kept_butterfly_wrapper,1
kept_butterfly_wrapper_gated,0
kept_complex_fp8_to_fp4,0
kept_complex_fp4_to_fp8,0
