Metric,Value
design_name,probe_fp8x8
top_module,probe_fp8x8_top
lut_count,1412
lutram_count,76
dsp_count,0
bram_count,4
ff_count,145
io_count,0
total_power_w,0.108
wns_ns,-22.565
critical_path_delay_ns,32.565
clock_period_ns,10.0
dynamic_power_w,0.039
static_power_w,0.069
saif_used,0
opt_design_ran,1
fmax_mhz,30.707815138952867
dsp48_primitives,0
use_dsp,0
kept_fp4_mul,0
kept_fp8_mul,4
kept_fp4_cmul,0
kept_fp8_cmul,1
kept_fp4_add_sub,0
kept_fp8_add_sub,0
kept_fp4_complex_add_sub,0
kept_fp8_complex_add_sub,0
kept_butterfly_wrapper,1
kept_butterfly_wrapper_gated,0
kept_complex_fp8_to_fp4,0
kept_complex_fp4_to_fp8,0
