fft_size,solution_id,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing
2,0,0.069000,394,21,4,0,285,0.0000,0.1542,12.335,1
2,1,0.070000,680,39,4,0,228,41.4807,0.2592,20.734,1
4,0,0.071000,394,25,6,4,100,17.4744,0.1935,15.482,1
4,1,0.072000,1097,60,10,4,122,34.1859,0.4488,35.901,1
4,2,0.072000,714,42,6,4,105,21.4845,0.3006,24.050,1
4,3,0.072000,753,43,6,4,112,25.7769,0.3006,24.050,1
8,0,0.071000,404,28,6,4,107,12.1985,0.1864,14.910,1
8,1,0.073000,1075,65,10,4,124,42.8114,0.4440,35.518,1
8,2,0.072000,754,46,6,4,114,14.8575,0.3037,24.299,1
8,3,0.073000,792,46,6,4,119,25.9146,0.3037,24.299,1
8,4,0.073000,1133,65,10,4,133,41.2837,0.4401,35.206,1
16,0,0.071000,422,31,6,4,112,10.7745,0.1860,14.876,1
16,1,0.073000,1093,67,10,4,127,39.0028,0.4446,35.567,1
16,2,0.072000,735,47,6,4,115,13.0223,0.3003,24.025,1
16,3,0.073000,1149,69,10,4,140,21.9050,0.4424,35.389,1
16,4,0.073000,1153,69,10,4,140,23.6412,0.4424,35.389,1
16,5,0.073000,780,49,6,4,124,13.7313,0.3031,24.252,1
16,6,0.073000,775,48,6,4,122,13.4177,0.3028,24.226,1
16,7,0.073000,1153,69,10,4,140,23.6412,0.4424,35.389,1
16,8,0.073000,1156,69,10,4,140,25.3871,0.4424,35.389,1
16,9,0.073000,1107,68,10,4,129,18.9295,0.4421,35.372,1
16,10,0.073000,1107,69,10,4,131,21.5053,0.4425,35.396,1
32,0,0.073000,1172,73,10,4,140,37.2853,0.4562,36.493,1
32,1,0.073000,743,51,6,4,124,11.9724,0.3031,24.252,1
32,2,0.073000,1184,73,10,4,149,23.9223,0.4436,35.490,1
32,3,0.073000,1184,73,10,4,149,22.1489,0.4414,35.309,1
32,4,0.073000,1139,73,10,4,140,20.7900,0.4439,35.516,1
32,5,0.073000,1140,73,10,4,140,19.3013,0.4439,35.513,1
32,6,0.073000,1184,73,10,4,149,23.9223,0.4436,35.490,1
32,7,0.073000,1184,73,10,4,149,23.9223,0.4436,35.490,1
32,8,0.073000,779,51,6,4,129,12.1698,0.3031,24.252,1
64,0,0.073000,1211,74,10,4,141,36.8188,0.4562,36.493,1
64,1,0.073000,772,52,6,4,125,10.8851,0.3028,24.226,1
64,2,0.073000,810,52,6,4,130,11.1869,0.3028,24.226,1
64,3,0.073000,1181,75,10,4,143,20.5344,0.4436,35.490,1
64,4,0.073000,1178,74,10,4,141,16.6665,0.4436,35.487,1
64,5,0.073000,1229,74,10,4,150,23.4900,0.4436,35.487,1
64,6,0.073000,1227,75,10,4,152,23.4900,0.4436,35.490,1
128,0,0.073000,1225,77,10,4,148,36.0711,0.5322,36.493,1
128,1,0.073000,783,55,6,4,132,10.4562,0.3537,24.252,1
128,2,0.073000,823,55,6,4,137,10.6841,0.3537,24.252,1
128,3,0.073000,1192,77,10,4,148,13.3225,0.5175,35.487,1
128,4,0.073000,1192,77,10,4,148,20.8597,0.5176,35.490,1
128,5,0.073000,1195,77,10,4,148,19.1409,0.5175,35.487,1
128,6,0.073000,1242,77,10,4,157,23.2010,0.5176,35.490,1
128,7,0.073000,1244,77,10,4,157,23.1864,0.5175,35.487,1
128,8,0.073000,1242,77,10,4,157,23.2010,0.5176,35.490,1
128,9,0.073000,1238,77,10,4,157,23.1864,0.5176,35.490,1
128,10,0.073000,1242,77,10,4,157,23.2010,0.5176,35.490,1
128,11,0.073000,1242,77,10,4,157,23.2010,0.5176,35.490,1
128,12,0.073000,819,55,6,4,137,10.6697,0.3537,24.252,1
128,13,0.073000,1238,77,10,4,157,23.1864,0.5176,35.490,1
256,0,0.073000,1227,76,10,4,145,35.7972,0.6020,36.122,1
256,1,0.073000,793,54,6,4,129,10.1286,0.4009,24.052,1
256,2,0.073000,1265,79,10,4,160,23.1859,0.5915,35.487,1
256,3,0.073000,1206,79,10,4,151,20.5040,0.5835,35.013,1
256,4,0.073000,1251,79,10,4,160,23.1859,0.5915,35.490,1
256,5,0.073000,1209,78,10,4,149,18.6474,0.5835,35.010,1
256,6,0.073000,1204,77,10,4,147,14.0518,0.5835,35.010,1
256,7,0.073000,840,57,6,4,140,10.3230,0.4042,24.252,1
256,8,0.073000,1246,78,10,4,158,23.1673,0.5915,35.490,1
256,9,0.073000,835,56,6,4,138,10.3083,0.4038,24.226,1
256,10,0.073000,1262,79,10,4,160,23.1571,0.5915,35.487,1
512,0,0.074000,1271,81,10,4,156,35.4282,0.6842,36.493,1
512,1,0.073000,1229,81,10,4,156,12.1739,0.6654,35.490,1
512,2,0.073000,1242,81,10,4,156,10.8459,0.6654,35.487,1
512,3,0.073000,1238,81,10,4,156,20.2249,0.6654,35.490,1
512,4,0.073000,1243,81,10,4,156,11.6010,0.6654,35.487,1
512,5,0.074000,1281,81,10,4,165,10.5866,0.6565,35.013,1
512,6,0.073000,1239,81,10,4,156,10.6748,0.6654,35.487,1
512,7,0.073000,1295,81,10,4,165,17.2908,0.6654,35.487,1
1024,0,0.074000,1288,82,10,4,157,22.4923,0.7603,36.493,1
1024,1,0.073000,1258,83,10,4,159,15.9167,0.7394,35.490,1
