generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
404,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072000,461,37,6,4,125,6.8700,0.2151,14.752,1,535,11528,100.0,0.0,100.0,0.0
404,1,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.073000,1225,77,10,4,148,36.0700,0.5322,36.493,1,535,11528,0.0,100.0,0.0,100.0
404,2,128,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.074000,1272,77,10,4,157,6.5400,0.5322,36.493,1,535,11528,57.1,42.9,57.1,42.9
404,3,128,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.073000,1282,77,10,4,157,12.1400,0.5318,36.469,1,535,11528,42.9,57.1,42.9,57.1
404,4,128,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.072000,842,63,10,4,153,7.5400,0.3977,27.272,1,535,11528,0.0,100.0,100.0,0.0
404,5,128,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.073000,783,55,6,4,132,10.4600,0.3537,24.252,1,535,11528,100.0,0.0,0.0,100.0
404,6,128,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.073000,1239,77,10,4,157,1.3500,0.5176,35.490,1,535,11528,71.4,28.6,42.9,57.1
404,7,128,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0.073000,1238,77,10,4,157,2.2600,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
404,8,128,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.073000,1271,76,10,4,155,5.9700,0.5322,36.493,1,535,11528,71.4,28.6,71.4,28.6
404,9,128,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0.073000,1239,77,10,4,157,7.4900,0.5176,35.490,1,535,11528,42.9,57.1,57.1,42.9
404,10,128,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0.073000,1241,77,10,4,157,7.0400,0.5176,35.490,1,535,11528,28.6,71.4,71.4,28.6
404,11,128,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0.073000,1241,77,10,4,157,7.7500,0.5176,35.490,1,535,11528,42.9,57.1,71.4,28.6
404,12,128,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0.073000,1238,77,10,4,157,9.8100,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
404,13,128,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0.073000,1243,77,10,4,157,5.3000,0.5175,35.487,1,535,11528,71.4,28.6,57.1,42.9
404,14,128,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0.073000,1239,77,10,4,157,2.0600,0.5176,35.490,1,535,11528,57.1,42.9,28.6,71.4
404,15,128,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0.073000,1239,77,10,4,157,1.9400,0.5176,35.490,1,535,11528,57.1,42.9,42.9,57.1
404,16,128,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0.073000,1239,77,10,4,157,7.8700,0.5176,35.490,1,535,11528,42.9,57.1,71.4,28.6
404,17,128,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.073000,1239,77,10,4,157,6.9400,0.5176,35.490,1,535,11528,28.6,71.4,57.1,42.9
404,18,128,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.073000,1241,77,10,4,157,7.7600,0.5176,35.490,1,535,11528,71.4,28.6,71.4,28.6
404,19,128,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0.073000,1244,77,10,4,157,2.9000,0.5176,35.490,1,535,11528,28.6,71.4,28.6,71.4
404,20,128,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0.073000,1244,77,10,4,157,8.0800,0.5176,35.490,1,535,11528,57.1,42.9,85.7,14.3
404,21,128,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0.073000,1244,77,10,4,157,8.1200,0.5176,35.490,1,535,11528,28.6,71.4,85.7,14.3
404,22,128,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0.073000,1239,77,10,4,157,9.6800,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
404,23,128,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0.073000,1244,77,10,4,157,2.5500,0.5176,35.490,1,535,11528,28.6,71.4,28.6,71.4
404,24,128,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0.073000,1241,77,10,4,157,7.6800,0.5176,35.490,1,535,11528,71.4,28.6,71.4,28.6
404,25,128,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0.073000,1239,77,10,4,157,8.0400,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
404,26,128,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0.073000,1243,77,10,4,157,9.9100,0.5175,35.487,1,535,11528,71.4,28.6,42.9,57.1
404,27,128,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0.073000,1238,77,10,4,157,1.7700,0.5176,35.490,1,535,11528,42.9,57.1,28.6,71.4
404,28,128,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0.073000,1239,77,10,4,157,6.6100,0.5176,35.490,1,535,11528,42.9,57.1,57.1,42.9
405,0,128,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0.073000,1248,77,10,4,157,7.6700,0.5176,35.490,1,535,11528,57.1,42.9,57.1,42.9
