solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,128,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0.075000,1359,57,9,4,609,10.6666,0.4176,28.638,1,535,11528,1
1,128,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.075000,1937,72,13,4,615,23.8344,0.6321,43.342,1,535,11528,0
2,128,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.075000,1921,72,13,4,615,23.8572,0.6338,43.461,1,535,11528,0
3,128,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1361,57,9,4,609,10.6813,0.4180,28.664,1,535,11528,1
4,128,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0.075000,1938,72,13,4,615,23.8494,0.6321,43.342,1,535,11528,0
5,128,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.075000,1938,72,13,4,615,23.8717,0.6321,43.342,1,535,11528,1
6,128,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.075000,1937,72,13,4,615,23.8344,0.6317,43.316,1,535,11528,0
7,128,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.075000,1935,72,13,4,615,23.8572,0.6317,43.316,1,535,11528,1
8,128,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.076000,1938,72,13,4,615,23.8494,0.6321,43.342,1,535,11528,0
9,128,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1925,72,13,4,615,23.8717,0.6338,43.461,1,535,11528,0
10,128,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1323,57,9,4,604,10.4673,0.4176,28.638,1,535,11528,1
11,128,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,16.1281,0.6317,43.316,1,535,11528,0
12,128,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,16.5285,0.6317,43.316,1,535,11528,0
13,128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,17.4910,0.6317,43.316,1,535,11528,0
14,128,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.075000,1933,72,13,4,615,23.8344,0.6321,43.342,1,535,11528,0
15,128,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.075000,1933,72,13,4,615,23.8572,0.6321,43.342,1,535,11528,1
16,128,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.076000,1938,72,13,4,615,23.8494,0.6321,43.342,1,535,11528,0
17,128,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1938,72,13,4,615,23.8717,0.6321,43.342,1,535,11528,0
18,128,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0.075000,1935,72,13,4,615,23.8344,0.6317,43.316,1,535,11528,0
19,128,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0.075000,1933,72,13,4,615,23.8572,0.6321,43.342,1,535,11528,1
20,128,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.076000,1938,72,13,4,615,23.8494,0.6321,43.342,1,535,11528,0
21,128,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1938,72,13,4,615,23.8717,0.6321,43.342,1,535,11528,0
22,128,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,18.6782,0.6317,43.316,1,535,11528,0
23,128,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,17.7999,0.6317,43.316,1,535,11528,0
24,128,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,21.3845,0.6317,43.316,1,535,11528,1
25,128,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,17.0228,0.6317,43.316,1,535,11528,0
26,128,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.075000,1890,72,13,4,606,21.1487,0.6317,43.316,1,535,11528,0
27,128,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.075000,1892,72,13,4,606,19.2945,0.6317,43.316,1,535,11528,0
28,128,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.075000,1890,72,13,4,606,17.4737,0.6317,43.316,1,535,11528,0
29,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.075000,1881,72,13,4,606,36.6441,0.6338,43.459,1,535,11528,1
