solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,power_W,energy_pJ,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front,sqnr_dB_asreported
0,128,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.038000,203300.0,1391,77,10,4,157,12.1405,0.5126,35.151,1,535,11528,0,12.1405
1,128,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0.035000,187250.0,875,55,6,4,137,10.6697,0.3676,25.207,1,535,11528,1,10.6697
2,128,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.029000,155150.0,1463,77,10,4,157,18.0228,0.5191,35.598,1,535,11528,0,18.0228
3,128,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.039000,208650.0,1426,77,10,4,157,23.1864,0.5376,36.862,1,535,11528,1,23.1864
4,128,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0.028000,149800.0,1377,76,10,4,155,17.2370,0.5128,35.161,1,535,11528,0,17.2370
5,128,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.040000,214000.0,1381,77,10,4,157,23.1862,0.5126,35.151,1,535,11528,1,23.1862
6,128,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.036000,192600.0,881,55,6,4,137,10.6841,0.3677,25.212,1,535,11528,1,10.6841
7,128,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0.029000,155150.0,1469,77,10,4,157,17.2554,0.5185,35.554,1,535,11528,0,17.2554
8,128,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0.028000,149800.0,1429,77,10,4,157,17.4086,0.5376,36.862,1,535,11528,0,17.4086
9,128,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0.040000,214000.0,1434,77,10,4,157,23.2010,0.5376,36.862,1,535,11528,1,23.2010
10,128,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.028000,149800.0,1439,77,10,4,157,17.3966,0.5346,36.658,1,535,11528,0,17.3966
11,128,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0.029000,155150.0,1449,77,10,4,157,18.1394,0.5348,36.675,1,535,11528,0,18.1394
12,128,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.041000,219350.0,1429,77,10,4,157,23.2004,0.5376,36.862,1,535,11528,0,23.2004
13,128,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.040000,214000.0,1469,77,10,4,157,23.1864,0.5185,35.554,1,535,11528,1,23.1864
14,128,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.040000,214000.0,1381,77,10,4,157,12.1548,0.5126,35.151,1,535,11528,0,12.1548
15,128,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0.028000,149800.0,1450,77,10,4,157,17.4086,0.5183,35.543,1,535,11528,1,17.4086
16,128,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.029000,155150.0,1474,77,10,4,157,18.1880,0.5185,35.554,1,535,11528,1,18.1880
17,128,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.040000,214000.0,1434,77,10,4,157,23.2010,0.5376,36.862,1,535,11528,1,23.2010
18,128,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.027000,144450.0,1384,77,10,4,157,17.3966,0.5126,35.151,1,535,11528,1,17.3966
19,128,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.042000,224700.0,1385,77,10,4,157,23.2004,0.5126,35.151,1,535,11528,1,23.2004
20,128,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.037000,197950.0,844,55,6,4,132,10.4562,0.3676,25.208,1,535,11528,0,10.4562
21,128,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.039000,208650.0,1440,77,10,4,157,23.1864,0.5378,36.879,1,535,11528,0,23.1864
22,128,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0.029000,155150.0,1444,77,10,4,157,18.1880,0.5378,36.879,1,535,11528,0,18.1880
23,128,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.040000,214000.0,1444,77,10,4,157,23.2010,0.5378,36.879,1,535,11528,0,23.2010
24,128,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.027000,144450.0,1449,77,10,4,157,17.3966,0.5348,36.675,1,535,11528,0,17.3966
25,128,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.029000,155150.0,1449,77,10,4,157,18.1394,0.5348,36.675,1,535,11528,0,18.1394
26,128,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0.028000,149800.0,1460,77,10,4,157,17.2434,0.5191,35.598,1,535,11528,0,17.2434
27,128,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0.027000,144450.0,1443,77,10,4,157,17.4086,0.5382,36.903,1,535,11528,1,17.4086
28,128,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.041000,219350.0,1398,77,10,4,148,20.8597,0.5183,35.543,1,535,11528,0,20.8597
29,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043000,230050.0,1333,77,10,4,148,36.0711,0.5128,35.161,1,535,11528,1,36.0711
