generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
104,0,16,0,0,0,0,0,0,0,0,0.073000,982,30,9,4,578,10.9600,0.2352,18.819,1,83,1628,100.0,0.0,100.0,0.0
104,1,16,1,1,1,1,1,1,1,1,0.075000,1832,61,13,4,583,39.4100,0.5370,42.959,1,83,1628,0.0,100.0,0.0,100.0
104,2,16,1,1,1,1,0,0,0,0,0.075000,1890,62,13,4,594,4.5500,0.5371,42.967,1,83,1628,50.0,50.0,50.0,50.0
104,3,16,0,0,0,0,1,1,1,1,0.075000,1890,62,13,4,594,23.6900,0.5371,42.967,1,83,1628,50.0,50.0,50.0,50.0
104,4,16,1,0,1,0,1,0,1,0,0.074000,1451,47,13,4,588,11.5700,0.4241,33.929,1,83,1628,0.0,100.0,100.0,0.0
104,5,16,0,1,0,1,0,1,0,1,0.074000,1281,46,9,4,581,13.0100,0.3461,27.688,1,83,1628,100.0,0.0,0.0,100.0
104,6,16,1,0,0,1,0,1,1,1,0.075000,1910,63,13,4,596,23.9400,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
104,7,16,0,0,1,1,1,1,1,0,0.075000,1910,63,13,4,596,12.6200,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
104,8,16,1,1,0,1,1,1,1,1,0.075000,1864,63,13,4,587,21.5300,0.5259,42.072,1,83,1628,25.0,75.0,0.0,100.0
104,9,16,0,0,0,0,0,1,1,0,0.075000,1905,63,13,4,596,12.1500,0.5259,42.069,1,83,1628,75.0,25.0,75.0,25.0
104,10,16,1,0,0,1,0,0,1,0,0.075000,1905,63,13,4,596,11.8500,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
104,11,16,1,1,0,1,1,0,1,0,0.075000,1903,63,13,4,596,4.9900,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
104,12,16,0,1,0,0,0,1,1,1,0.075000,1905,63,13,4,596,6.5200,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
104,13,16,1,1,0,0,1,1,0,1,0.075000,1908,63,13,4,596,7.2200,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
104,14,16,1,0,0,0,0,0,0,1,0.075000,1916,63,13,4,596,11.1500,0.5259,42.069,1,83,1628,75.0,25.0,75.0,25.0
104,15,16,0,1,1,1,0,1,1,1,0.075000,1860,62,13,4,585,15.8200,0.5259,42.072,1,83,1628,50.0,50.0,0.0,100.0
104,16,16,1,0,0,1,1,0,1,0,0.075000,1905,63,13,4,596,11.9100,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
104,17,16,1,1,1,0,0,0,0,0,0.075000,1913,63,13,4,596,3.8400,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
104,18,16,1,1,0,1,1,1,0,0,0.075000,1906,63,13,4,596,5.4800,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
104,19,16,1,1,0,0,1,0,0,1,0.075000,1913,63,13,4,596,4.6000,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
104,20,16,1,0,0,0,1,0,0,0,0.074000,1457,48,13,4,590,10.9700,0.4241,33.929,1,83,1628,50.0,50.0,100.0,0.0
104,21,16,0,1,1,0,1,1,0,1,0.075000,1905,63,13,4,596,5.4600,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
104,22,16,1,0,0,1,0,1,0,0,0.075000,1910,63,13,4,596,11.8400,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
104,23,16,0,1,0,0,1,0,1,1,0.075000,1913,63,13,4,596,3.5400,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
104,24,16,1,1,0,1,1,1,0,1,0.075000,1860,62,13,4,585,18.9800,0.5259,42.072,1,83,1628,50.0,50.0,0.0,100.0
104,25,16,1,0,1,1,0,0,0,1,0.075000,1906,63,13,4,596,11.2600,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
104,26,16,0,1,0,1,0,0,0,0,0.075000,1324,47,9,4,588,2.7800,0.3461,27.684,1,83,1628,100.0,0.0,50.0,50.0
105,0,16,1,1,0,1,0,1,0,1,0.075000,1864,63,13,4,587,16.5100,0.5259,42.072,1,83,1628,75.0,25.0,0.0,100.0
105,1,16,1,0,0,1,1,0,0,0,0.075000,1908,63,13,4,596,11.0900,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
105,2,16,0,1,0,1,1,1,0,1,0.075000,1864,63,13,4,587,13.6100,0.5259,42.072,1,83,1628,75.0,25.0,0.0,100.0
105,3,16,0,0,0,0,0,0,1,1,0.075000,1903,63,13,4,596,12.0200,0.5371,42.967,1,83,1628,75.0,25.0,75.0,25.0
105,4,16,1,0,1,1,0,0,1,1,0.075000,1903,63,13,4,596,12.3400,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
105,5,16,1,0,1,0,0,0,1,0,0.074000,1455,49,13,4,592,11.5400,0.4241,33.929,1,83,1628,25.0,75.0,100.0,0.0
105,6,16,1,0,0,0,0,1,0,1,0.075000,1903,63,13,4,596,13.4400,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
105,7,16,1,0,0,1,1,1,0,0,0.075000,1913,63,13,4,596,12.2100,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
105,8,16,0,0,0,1,0,0,1,1,0.075000,1903,63,13,4,596,12.3400,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
105,9,16,1,0,0,0,1,0,1,0,0.074000,1455,49,13,4,592,11.5700,0.4241,33.929,1,83,1628,25.0,75.0,100.0,0.0
105,10,16,1,1,0,1,0,1,1,1,0.075000,1864,63,13,4,587,18.3400,0.5259,42.072,1,83,1628,50.0,50.0,0.0,100.0
105,11,16,1,1,1,0,1,1,0,0,0.075000,1903,63,13,4,596,5.1000,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
105,12,16,1,0,0,1,0,0,0,0,0.075000,1905,63,13,4,596,11.0800,0.5259,42.069,1,83,1628,75.0,25.0,75.0,25.0
105,13,16,0,0,0,1,0,1,1,0,0.075000,1910,63,13,4,596,12.4300,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
105,14,16,0,1,0,1,1,0,0,1,0.075000,1905,63,13,4,596,3.2800,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
105,15,16,0,0,0,1,0,0,0,0,0.074000,1324,48,9,4,590,11.0800,0.3461,27.684,1,83,1628,100.0,0.0,75.0,25.0
105,16,16,0,1,0,1,0,1,1,1,0.075000,1864,63,13,4,587,14.6500,0.5259,42.072,1,83,1628,75.0,25.0,0.0,100.0
