solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,16,0,0,0,0,0,0,0,0,0.073000,982,30,9,4,578,10.9627,0.2352,18.819,1,83,1628,1
1,16,0,0,0,0,0,0,0,1,0.074000,1330,48,9,4,590,11.1473,0.3461,27.684,1,83,1628,0
2,16,0,0,0,0,0,1,0,0,0.074000,1324,48,9,4,590,11.6649,0.3461,27.684,1,83,1628,1
3,16,0,0,0,0,0,1,0,1,0.075000,1324,47,9,4,588,13.4360,0.3461,27.684,1,83,1628,1
4,16,0,0,0,0,1,1,1,1,0.075000,1890,62,13,4,594,23.6853,0.5371,42.967,1,83,1628,0
5,16,0,0,0,1,0,0,0,0,0.074000,1324,48,9,4,590,11.0774,0.3461,27.684,1,83,1628,0
6,16,0,0,0,1,0,0,0,1,0.075000,1324,47,9,4,588,11.2620,0.3461,27.684,1,83,1628,0
7,16,0,0,0,1,0,1,0,0,0.075000,1327,48,9,4,590,11.8377,0.3461,27.684,1,83,1628,0
8,16,0,0,0,1,0,1,0,1,0.075000,1327,48,9,4,590,13.7419,0.3461,27.684,1,83,1628,1
9,16,0,0,0,1,1,1,1,1,0.075000,1913,63,13,4,596,25.3884,0.5259,42.069,1,83,1628,0
10,16,0,0,1,0,1,0,1,0,0.074000,1455,49,13,4,592,11.5675,0.4241,33.929,1,83,1628,0
11,16,0,0,1,0,1,1,1,1,0.075000,1902,63,13,4,596,23.6853,0.5259,42.069,1,83,1628,0
12,16,0,0,1,1,1,1,1,1,0.075000,1897,63,13,4,596,25.3884,0.5371,42.967,1,83,1628,0
13,16,0,1,0,0,0,1,0,1,0.075000,1324,48,9,4,590,5.1918,0.3461,27.684,1,83,1628,0
14,16,0,1,0,1,0,1,0,1,0.074000,1281,46,9,4,581,13.0125,0.3461,27.688,1,83,1628,1
15,16,0,1,0,1,1,1,1,1,0.075000,1859,62,13,4,585,15.9342,0.5259,42.072,1,83,1628,0
16,16,1,0,0,0,0,1,1,1,0.075000,1902,63,13,4,596,23.4848,0.5259,42.069,1,83,1628,0
17,16,1,0,0,0,1,0,1,0,0.074000,1455,49,13,4,592,11.5675,0.4241,33.929,1,83,1628,0
18,16,1,0,0,0,1,1,1,1,0.075000,1902,63,13,4,596,23.6853,0.5259,42.069,1,83,1628,0
19,16,1,0,0,1,1,1,1,1,0.075000,1910,63,13,4,596,25.3884,0.5259,42.069,1,83,1628,0
20,16,1,0,1,0,1,0,1,0,0.074000,1451,47,13,4,588,11.5675,0.4241,33.929,1,83,1628,0
21,16,1,0,1,0,1,1,1,1,0.075000,1901,62,13,4,594,23.6853,0.5259,42.069,1,83,1628,1
22,16,1,0,1,1,1,0,1,1,0.075000,1901,62,13,4,594,12.3590,0.5259,42.069,1,83,1628,0
23,16,1,0,1,1,1,1,1,1,0.075000,1909,63,13,4,596,25.3884,0.5259,42.069,1,83,1628,1
24,16,1,1,0,1,1,1,0,1,0.075000,1859,62,13,4,585,18.9783,0.5259,42.072,1,83,1628,1
25,16,1,1,0,1,1,1,1,1,0.075000,1864,63,13,4,587,21.5277,0.5259,42.072,1,83,1628,1
26,16,1,1,1,1,0,1,0,1,0.075000,1859,62,13,4,585,17.9076,0.5259,42.072,1,83,1628,0
27,16,1,1,1,1,0,1,1,1,0.075000,1864,63,13,4,587,19.8728,0.5259,42.072,1,83,1628,0
28,16,1,1,1,1,1,1,0,1,0.075000,1864,63,13,4,587,21.3442,0.5259,42.072,1,83,1628,0
29,16,1,1,1,1,1,1,1,1,0.075000,1832,61,13,4,583,39.4052,0.5370,42.959,1,83,1628,1
