solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,energy_pJ,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front,sqnr_dB_asreported
0,16,0,0,0,0,0,0,0,0,0.024000,19920.0,445,31,6,4,112,10.7745,0.1965,15.718,1,83,1628,1,10.7745
1,16,0,0,0,0,0,0,0,1,0.025000,20750.0,834,49,6,4,124,11.1279,0.3151,25.208,1,83,1628,0,11.1279
2,16,0,0,0,0,0,1,0,0,0.026000,21580.0,828,49,6,4,124,11.6162,0.3151,25.208,1,83,1628,0,11.6162
3,16,0,0,0,0,0,1,0,1,0.030000,24900.0,828,48,6,4,122,13.4177,0.3150,25.199,1,83,1628,1,13.4177
4,16,0,0,0,0,0,1,1,1,0.031000,25730.0,1249,70,10,4,142,23.4610,0.4390,35.117,1,83,1628,1,23.4610
5,16,0,0,0,0,1,1,1,1,0.032000,26560.0,1352,69,10,4,140,23.6412,0.4402,35.213,1,83,1628,0,23.6412
6,16,0,0,0,1,0,0,0,1,0.030000,24900.0,828,48,6,4,122,11.2444,0.3150,25.199,1,83,1628,0,11.2444
7,16,0,0,0,1,0,1,0,0,0.025000,20750.0,831,49,6,4,124,11.7155,0.3151,25.208,1,83,1628,1,11.7155
8,16,0,0,0,1,0,1,0,1,0.032000,26560.0,831,49,6,4,124,13.7313,0.3151,25.208,1,83,1628,1,13.7313
9,16,0,0,0,1,0,1,1,0,0.026000,21580.0,1280,70,10,4,142,12.3369,0.4335,34.682,1,83,1628,1,12.3369
10,16,0,0,0,1,0,1,1,1,0.033000,27390.0,1258,70,10,4,142,23.9373,0.4390,35.122,1,83,1628,1,23.9373
11,16,0,0,0,1,1,1,1,1,0.034000,28220.0,1264,70,10,4,142,25.3871,0.4390,35.122,1,83,1628,0,25.3871
12,16,0,0,1,0,0,1,0,1,0.031000,25730.0,1268,70,10,4,142,13.4177,0.4335,34.677,1,83,1628,0,13.4177
13,16,0,0,1,1,0,1,1,1,0.033000,27390.0,1264,70,10,4,142,23.9373,0.4390,35.122,1,83,1628,1,23.9373
14,16,0,1,0,0,0,1,0,0,0.026000,21580.0,828,48,6,4,122,10.6377,0.3150,25.199,1,83,1628,0,10.6377
15,16,0,1,1,1,1,1,0,1,0.033000,27390.0,1193,70,10,4,133,14.6787,0.4345,34.760,1,83,1628,1,14.6787
16,16,1,0,0,0,1,1,1,1,0.031000,25730.0,1274,70,10,4,142,23.6412,0.4391,35.130,1,83,1628,1,23.6412
17,16,1,0,0,1,0,1,0,1,0.033000,27390.0,1280,70,10,4,142,13.7313,0.4335,34.682,1,83,1628,0,13.7313
18,16,1,0,0,1,0,1,1,0,0.026000,21580.0,1280,70,10,4,142,12.3369,0.4335,34.682,1,83,1628,1,12.3369
19,16,1,0,1,0,1,1,1,1,0.032000,26560.0,1252,69,10,4,140,23.6412,0.4369,34.952,1,83,1628,1,23.6412
20,16,1,0,1,1,1,1,1,1,0.034000,28220.0,1291,70,10,4,142,25.3871,0.4370,34.958,1,83,1628,1,25.3871
21,16,1,1,0,0,0,1,0,0,0.027000,22410.0,1249,70,10,4,142,19.1833,0.4390,35.117,1,83,1628,0,19.1833
22,16,1,1,0,0,0,1,1,0,0.026000,21580.0,1274,70,10,4,142,19.8673,0.4391,35.130,1,83,1628,1,19.8673
23,16,1,1,0,1,0,0,0,0,0.026000,21580.0,1249,70,10,4,142,18.6913,0.4390,35.117,1,83,1628,1,18.6913
24,16,1,1,0,1,1,1,1,1,0.035000,29050.0,1193,70,10,4,133,21.5053,0.4345,34.760,1,83,1628,1,21.5053
25,16,1,1,1,0,0,0,1,0,0.026000,21580.0,1291,70,10,4,142,19.1724,0.4392,35.135,1,83,1628,0,19.1724
26,16,1,1,1,0,1,1,1,0,0.027000,22410.0,1252,69,10,4,140,20.5609,0.4369,34.952,1,83,1628,1,20.5609
27,16,1,1,1,1,0,1,1,1,0.034000,28220.0,1193,70,10,4,133,19.9582,0.4345,34.760,1,83,1628,0,19.9582
28,16,1,1,1,1,1,1,0,1,0.034000,28220.0,1193,70,10,4,133,21.2248,0.4345,34.760,1,83,1628,1,21.2248
29,16,1,1,1,1,1,1,1,1,0.036000,29880.0,1306,68,10,4,129,39.0028,0.4378,35.025,1,83,1628,1,39.0028
