solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,256,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1376,59,9,4,612,10.3109,0.4911,29.467,1,1123,23628,1
1,256,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,16.9432,0.7184,43.102,1,1123,23628,0
2,256,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1379,60,9,4,614,10.3259,0.4911,29.467,1,1123,23628,1
3,256,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1975,75,13,4,620,16.9627,0.7184,43.102,1,1123,23628,0
4,256,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1978,75,13,4,620,17.0294,0.7184,43.102,1,1123,23628,0
5,256,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,17.0103,0.7184,43.102,1,1123,23628,0
6,256,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1978,75,13,4,620,16.9627,0.7184,43.102,1,1123,23628,0
7,256,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.076000,1968,75,13,4,620,11.8507,0.7184,43.107,1,1123,23628,0
8,256,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1349,57,9,4,603,10.1395,0.4941,29.649,1,1123,23628,1
9,256,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,16.9432,0.7184,43.102,1,1123,23628,0
10,256,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,17.0103,0.7184,43.102,1,1123,23628,0
11,256,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1975,75,13,4,620,16.9627,0.7184,43.102,1,1123,23628,0
12,256,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0.076000,1968,75,13,4,620,11.8507,0.7184,43.107,1,1123,23628,0
13,256,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1975,75,13,4,620,17.0294,0.7184,43.102,1,1123,23628,0
14,256,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,16.9432,0.7184,43.102,1,1123,23628,0
15,256,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0.076000,1964,75,13,4,620,11.8323,0.7184,43.102,1,1123,23628,0
16,256,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1963,74,13,4,618,17.0103,0.7184,43.102,1,1123,23628,1
17,256,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.076000,1968,75,13,4,620,11.7725,0.7184,43.107,1,1123,23628,0
18,256,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1975,75,13,4,620,16.9627,0.7184,43.102,1,1123,23628,0
19,256,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.076000,1963,74,13,4,618,12.2431,0.7184,43.102,1,1123,23628,0
20,256,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.076000,1962,75,13,4,620,11.8507,0.7184,43.107,1,1123,23628,1
21,256,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.076000,1963,74,13,4,618,10.4538,0.7184,43.102,1,1123,23628,0
22,256,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.076000,1962,75,13,4,620,10.0047,0.7184,43.107,1,1123,23628,0
23,256,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1969,75,13,4,620,17.0294,0.7184,43.102,1,1123,23628,1
24,256,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1918,75,13,4,611,18.9112,0.7191,43.145,1,1123,23628,0
25,256,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1918,75,13,4,611,21.3132,0.7191,43.145,1,1123,23628,1
26,256,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1964,75,13,4,620,11.7521,0.7184,43.102,1,1123,23628,0
27,256,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1918,75,13,4,611,20.7599,0.7191,43.145,1,1123,23628,0
28,256,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.076000,1918,75,13,4,611,20.7316,0.7191,43.145,1,1123,23628,0
29,256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1925,72,13,4,605,36.5037,0.7217,43.299,1,1123,23628,1
