generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
204,0,32,0,0,0,0,0,0,0,0,0,0,0.026000,444,33,6,4,117,8.9600,0.1965,15.718,1,143,2992,100.0,0.0,100.0,0.0
204,1,32,1,1,1,1,1,1,1,1,1,1,0.039000,1274,73,10,4,140,37.2900,0.4395,35.161,1,143,2992,0.0,100.0,0.0,100.0
204,2,32,1,1,1,1,0,0,0,0,0,0,0.026000,1319,72,10,4,147,9.1000,0.4395,35.161,1,143,2992,60.0,40.0,60.0,40.0
204,3,32,0,0,0,0,1,1,1,1,1,1,0.035000,1322,73,10,4,149,23.9200,0.4394,35.151,1,143,2992,40.0,60.0,40.0,60.0
204,4,32,1,0,1,0,1,0,1,0,1,0,0.028000,878,59,10,4,145,9.3400,0.3337,26.698,1,143,2992,0.0,100.0,100.0,0.0
204,5,32,0,1,0,1,0,1,0,1,0,1,0.034000,794,51,6,4,124,11.9700,0.3151,25.208,1,143,2992,100.0,0.0,0.0,100.0
204,6,32,0,1,0,0,0,1,0,1,0,1,0.034000,832,51,6,4,129,4.2000,0.3151,25.208,1,143,2992,100.0,0.0,20.0,80.0
204,7,32,0,0,1,0,1,1,0,1,1,1,0.034000,1381,73,10,4,149,12.9300,0.4610,36.879,1,143,2992,40.0,60.0,40.0,60.0
204,8,32,0,1,0,1,0,1,1,1,0,1,0.037000,1339,73,10,4,140,12.2300,0.4443,35.543,1,143,2992,80.0,20.0,0.0,100.0
204,9,32,1,0,1,1,1,0,0,0,0,0,0.028000,1407,73,10,4,149,8.9600,0.4444,35.554,1,143,2992,40.0,60.0,80.0,20.0
204,10,32,0,1,1,1,0,0,1,0,1,0,0.027000,1404,73,10,4,149,9.1600,0.4450,35.598,1,143,2992,40.0,60.0,60.0,40.0
204,11,32,0,0,1,0,1,1,1,0,1,0,0.029000,1410,73,10,4,149,9.9700,0.4444,35.554,1,143,2992,20.0,80.0,80.0,20.0
204,12,32,0,1,1,1,0,1,1,0,1,0,0.028000,1410,73,10,4,149,9.7500,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
204,13,32,0,1,1,0,1,1,0,0,1,1,0.035000,1410,73,10,4,149,2.7300,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
204,14,32,0,1,1,0,1,0,0,0,1,0,0.028000,1392,73,10,4,149,9.1200,0.4444,35.550,1,143,2992,40.0,60.0,80.0,20.0
204,15,32,0,0,0,1,0,1,0,0,1,1,0.033000,1370,73,10,4,149,10.8600,0.4611,36.886,1,143,2992,80.0,20.0,40.0,60.0
204,16,32,0,1,1,1,1,0,0,1,0,0,0.027000,1410,73,10,4,149,8.6000,0.4444,35.554,1,143,2992,60.0,40.0,40.0,60.0
204,17,32,1,0,1,0,1,1,0,1,1,1,0.035000,1407,73,10,4,149,12.9300,0.4444,35.554,1,143,2992,20.0,80.0,40.0,60.0
204,18,32,1,0,0,1,1,1,0,0,1,0,0.028000,1407,73,10,4,149,9.7000,0.4444,35.554,1,143,2992,40.0,60.0,60.0,40.0
204,19,32,1,0,1,1,0,1,1,0,1,0,0.028000,1410,73,10,4,149,10.3000,0.4444,35.554,1,143,2992,20.0,80.0,60.0,40.0
204,20,32,0,1,0,0,1,0,1,1,0,0,0.028000,1420,73,10,4,149,9.1800,0.4444,35.554,1,143,2992,60.0,40.0,60.0,40.0
204,21,32,1,0,1,1,1,1,0,0,0,1,0.033000,1381,73,10,4,149,10.2800,0.4610,36.879,1,143,2992,40.0,60.0,40.0,60.0
204,22,32,0,0,0,0,0,0,1,1,1,0,0.028000,1421,73,10,4,149,9.8800,0.4444,35.554,1,143,2992,60.0,40.0,80.0,20.0
204,23,32,1,0,0,0,0,1,1,1,1,1,0.034000,1383,73,10,4,149,22.4900,0.4610,36.879,1,143,2992,40.0,60.0,40.0,60.0
204,24,32,0,1,1,1,1,0,0,1,0,1,0.037000,1410,73,10,4,149,3.1800,0.4444,35.554,1,143,2992,60.0,40.0,20.0,80.0
204,25,32,1,1,1,0,1,1,0,1,1,0,0.028000,1410,73,10,4,149,10.2500,0.4444,35.554,1,143,2992,20.0,80.0,40.0,60.0
204,26,32,1,1,0,0,1,1,0,0,1,1,0.035000,1321,73,10,4,149,4.9100,0.4395,35.161,1,143,2992,40.0,60.0,40.0,60.0
