solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,32,0,0,0,0,0,0,0,1,0,1,0.030000,833,51,6,4,129,10.6185,0.3152,25.212,1,143,2992,1
1,32,0,0,0,0,0,1,0,0,0,1,0.030000,832,51,6,4,129,10.4508,0.3151,25.208,1,143,2992,1
2,32,0,0,0,0,0,1,0,1,0,1,0.032000,825,51,6,4,129,12.1698,0.3151,25.207,1,143,2992,1
3,32,0,0,0,0,0,1,1,1,1,1,0.034000,1371,73,10,4,149,22.4861,0.4608,36.862,1,143,2992,1
4,32,0,0,0,0,1,1,1,1,0,0,0.026000,1319,72,10,4,147,10.5852,0.4395,35.161,1,143,2992,1
5,32,0,0,0,0,1,1,1,1,0,1,0.034000,1376,73,10,4,149,13.6718,0.4582,36.658,1,143,2992,0
6,32,0,0,0,0,1,1,1,1,1,0,0.028000,1403,73,10,4,149,10.9125,0.4450,35.598,1,143,2992,0
7,32,0,0,0,0,1,1,1,1,1,1,0.035000,1322,73,10,4,149,23.9223,0.4394,35.151,1,143,2992,1
8,32,0,0,0,1,0,0,0,1,0,1,0.031000,825,51,6,4,129,10.6185,0.3151,25.207,1,143,2992,1
9,32,0,0,0,1,0,1,0,0,0,1,0.032000,827,51,6,4,129,10.4508,0.3152,25.212,1,143,2992,0
10,32,0,0,0,1,0,1,0,1,0,1,0.033000,829,51,6,4,129,12.1698,0.3151,25.207,1,143,2992,0
11,32,0,0,0,1,1,1,1,1,1,0,0.028000,1415,73,10,4,149,10.9125,0.4444,35.554,1,143,2992,1
12,32,0,0,1,0,0,1,1,1,1,1,0.034000,1383,73,10,4,149,22.4861,0.4610,36.879,1,143,2992,0
13,32,0,0,1,0,1,1,1,1,0,1,0.033000,1383,73,10,4,149,13.6718,0.4584,36.675,1,143,2992,1
14,32,0,0,1,0,1,1,1,1,1,1,0.035000,1382,73,10,4,149,23.9223,0.4610,36.879,1,143,2992,0
15,32,0,0,1,1,1,1,1,1,0,0,0.027000,1326,73,10,4,149,10.5852,0.4395,35.161,1,143,2992,0
16,32,0,0,1,1,1,1,1,1,1,0,0.028000,1415,73,10,4,149,10.9125,0.4444,35.554,1,143,2992,1
17,32,0,0,1,1,1,1,1,1,1,1,0.037000,1326,73,10,4,149,23.9223,0.4394,35.151,1,143,2992,0
18,32,1,0,0,0,1,1,1,1,0,1,0.033000,1383,73,10,4,149,13.6718,0.4584,36.675,1,143,2992,1
19,32,1,0,0,1,1,1,1,1,1,0,0.028000,1412,73,10,4,149,10.9125,0.4444,35.554,1,143,2992,1
20,32,1,0,1,0,1,1,1,1,0,1,0.034000,1379,73,10,4,149,13.6718,0.4549,36.388,1,143,2992,1
21,32,1,0,1,1,1,1,1,1,0,1,0.035000,1382,73,10,4,149,13.6718,0.4577,36.616,1,143,2992,0
22,32,1,1,0,0,1,1,1,1,0,0,0.027000,1321,73,10,4,149,10.7127,0.4395,35.161,1,143,2992,1
23,32,1,1,1,0,1,1,1,1,0,0,0.028000,1411,73,10,4,149,10.9967,0.4463,35.701,1,143,2992,1
24,32,1,1,1,0,1,1,1,1,1,0,0.029000,1410,73,10,4,149,11.3168,0.4444,35.554,1,143,2992,0
25,32,1,1,1,1,1,1,0,1,0,1,0.036000,1339,73,10,4,140,17.1629,0.4443,35.543,1,143,2992,0
26,32,1,1,1,1,1,1,1,0,1,0,0.029000,1410,73,10,4,149,12.0984,0.4444,35.554,1,143,2992,1
27,32,1,1,1,1,1,1,1,1,0,0,0.035000,1321,71,10,4,145,19.9178,0.4367,34.936,1,143,2992,1
28,32,1,1,1,1,1,1,1,1,1,0,0.036000,1396,73,10,4,149,22.1489,0.4444,35.555,1,143,2992,0
29,32,1,1,1,1,1,1,1,1,1,1,0.039000,1274,73,10,4,140,37.2853,0.4395,35.161,1,143,2992,1
