generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
1,0,4,0,0,0,0,0.021000,406,25,6,4,100,82.5300,0.1976,15.811,1,31,528,100.0,0.0,100.0,0.0
1,1,4,1,1,1,1,0.029000,1189,59,10,4,111,86.2500,0.4485,35.881,1,31,528,0.0,100.0,0.0,100.0
1,2,4,1,1,0,0,0.023000,1236,60,10,4,122,65.8100,0.4486,35.887,1,31,528,50.0,50.0,50.0,50.0
1,3,4,0,0,1,1,0.028000,1243,60,10,4,122,82.5300,0.4486,35.887,1,31,528,50.0,50.0,50.0,50.0
1,4,4,1,0,1,0,0.022000,811,45,10,4,116,82.5300,0.3509,28.073,1,31,528,0.0,100.0,100.0,0.0
1,5,4,0,1,0,1,0.027000,777,42,6,4,105,21.4800,0.3122,24.976,1,31,528,100.0,0.0,0.0,100.0
1,6,4,1,1,1,0,0.023000,1307,60,10,4,122,65.8100,0.4369,34.955,1,31,528,0.0,100.0,50.0,50.0
1,7,4,1,0,0,0,0.022000,806,46,10,4,118,82.5300,0.3519,28.155,1,31,528,50.0,50.0,100.0,0.0
1,8,4,1,0,1,1,0.028000,1314,60,10,4,122,82.5300,0.4369,34.955,1,31,528,0.0,100.0,50.0,50.0
1,9,4,1,0,0,1,0.027000,1313,60,10,4,122,82.5300,0.4323,34.585,1,31,528,50.0,50.0,50.0,50.0
1,10,4,0,0,1,0,0.022000,806,46,10,4,118,82.5300,0.3519,28.155,1,31,528,50.0,50.0,100.0,0.0
1,11,4,1,1,0,1,0.029000,1235,60,10,4,113,32.6900,0.4381,35.046,1,31,528,50.0,50.0,0.0,100.0
1,12,4,0,0,0,1,0.026000,810,43,6,4,112,82.5300,0.3123,24.983,1,31,528,100.0,0.0,50.0,50.0
1,13,4,0,1,1,1,0.029000,1235,60,10,4,113,23.7200,0.4381,35.046,1,31,528,50.0,50.0,0.0,100.0
2,0,4,0,1,0,0,0.023000,805,43,6,4,112,74.2200,0.3123,24.983,1,31,528,100.0,0.0,50.0,50.0
2,1,4,0,1,1,0,0.023000,1306,60,10,4,122,74.2200,0.4323,34.585,1,31,528,50.0,50.0,50.0,50.0
