solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,power_W,energy_pJ,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front,sqnr_dB_asreported
0,4,0,0,0,0,0.021000,6510.0,406,25,6,4,100,82.5256,0.1976,15.811,1,31,528,1,82.5256
1,4,0,0,0,1,0.026000,8060.0,810,43,6,4,112,82.5256,0.3123,24.983,1,31,528,0,82.5256
2,4,0,0,1,0,0.022000,6820.0,806,46,10,4,118,82.5256,0.3519,28.155,1,31,528,0,82.5256
3,4,0,0,1,1,0.028000,8680.0,1243,60,10,4,122,82.5256,0.4486,35.887,1,31,528,0,82.5256
4,4,0,1,0,0,0.023000,7130.0,805,43,6,4,112,74.2231,0.3123,24.983,1,31,528,0,74.2231
5,4,0,1,0,1,0.027000,8370.0,777,42,6,4,105,21.4845,0.3122,24.976,1,31,528,0,21.4845
6,4,0,1,1,0,0.023000,7130.0,1306,60,10,4,122,74.2231,0.4323,34.585,1,31,528,0,74.2231
7,4,0,1,1,1,0.029000,8990.0,1235,60,10,4,113,23.7193,0.4381,35.046,1,31,528,0,23.7193
8,4,1,0,0,0,0.022000,6820.0,806,46,10,4,118,82.5256,0.3519,28.155,1,31,528,0,82.5256
9,4,1,0,0,1,0.027000,8370.0,1313,60,10,4,122,82.5256,0.4323,34.585,1,31,528,0,82.5256
10,4,1,0,1,0,0.022000,6820.0,811,45,10,4,116,82.5256,0.3509,28.073,1,31,528,0,82.5256
11,4,1,0,1,1,0.028000,8680.0,1314,60,10,4,122,82.5256,0.4369,34.955,1,31,528,0,82.5256
12,4,1,1,0,0,0.023000,7130.0,1236,60,10,4,122,65.8141,0.4486,35.887,1,31,528,0,65.8141
13,4,1,1,0,1,0.029000,8990.0,1235,60,10,4,113,32.6881,0.4381,35.046,1,31,528,0,32.6881
14,4,1,1,1,0,0.023000,7130.0,1307,60,10,4,122,65.8141,0.4369,34.955,1,31,528,0,65.8141
15,4,1,1,1,1,0.029000,8990.0,1189,59,10,4,111,86.2515,0.4485,35.881,1,31,528,0,86.2515
