generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
604,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074000,1044,45,9,4,609,8.9500,0.3753,20.017,1,2415,49104,100.0,0.0,100.0,0.0
604,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1944,78,13,4,618,26.3700,0.8325,44.401,1,2415,49104,0.0,100.0,0.0,100.0
604,2,512,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.076000,1985,76,13,4,623,1.5200,0.8286,44.192,1,2415,49104,55.6,44.4,55.6,44.4
604,3,512,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,11.4400,0.8325,44.401,1,2415,49104,44.4,55.6,44.4,55.6
604,4,512,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.074000,1507,64,13,4,623,9.1800,0.6550,34.935,1,2415,49104,0.0,100.0,100.0,0.0
604,5,512,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1354,63,9,4,616,9.8200,0.5525,29.467,1,2415,49104,100.0,0.0,0.0,100.0
604,6,512,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0.076000,1991,78,13,4,627,9.0500,0.8012,42.729,1,2415,49104,55.6,44.4,88.9,11.1
604,7,512,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.076000,1984,78,13,4,627,2.0400,0.8019,42.767,1,2415,49104,22.2,77.8,11.1,88.9
604,8,512,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076000,1990,77,13,4,625,1.3500,0.8325,44.401,1,2415,49104,77.8,22.2,77.8,22.2
604,9,512,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0.076000,1989,78,13,4,627,9.4900,0.8014,42.740,1,2415,49104,33.3,66.7,44.4,55.6
604,10,512,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0.076000,1991,78,13,4,627,1.4000,0.8012,42.729,1,2415,49104,66.7,33.3,33.3,66.7
604,11,512,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.076000,1991,78,13,4,627,1.7200,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
604,12,512,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0.076000,1989,78,13,4,627,1.6900,0.8014,42.740,1,2415,49104,66.7,33.3,33.3,66.7
604,13,512,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.076000,1991,78,13,4,627,1.5600,0.8012,42.729,1,2415,49104,33.3,66.7,44.4,55.6
604,14,512,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.076000,1991,78,13,4,627,1.3200,0.8012,42.729,1,2415,49104,55.6,44.4,77.8,22.2
604,15,512,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0.076000,1989,78,13,4,627,9.9400,0.8014,42.740,1,2415,49104,55.6,44.4,22.2,77.8
604,16,512,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0.076000,1991,78,13,4,627,9.5900,0.8012,42.729,1,2415,49104,77.8,22.2,33.3,66.7
604,17,512,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0.076000,1991,78,13,4,627,9.6500,0.8012,42.729,1,2415,49104,55.6,44.4,55.6,44.4
604,18,512,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0.076000,1991,78,13,4,627,1.9500,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
604,19,512,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0.076000,1996,78,13,4,627,9.2200,0.8012,42.729,1,2415,49104,44.4,55.6,66.7,33.3
604,20,512,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.076000,1991,78,13,4,627,1.4000,0.8012,42.729,1,2415,49104,66.7,33.3,77.8,22.2
604,21,512,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0.076000,1991,78,13,4,627,10.3400,0.8014,42.740,1,2415,49104,33.3,66.7,22.2,77.8
604,22,512,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0.076000,1991,78,13,4,627,1.6900,0.8012,42.729,1,2415,49104,33.3,66.7,77.8,22.2
604,23,512,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0.076000,1991,78,13,4,627,9.1400,0.8012,42.729,1,2415,49104,33.3,66.7,55.6,44.4
604,24,512,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0.076000,1991,78,13,4,627,1.7000,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
604,25,512,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0.076000,1991,78,13,4,627,9.2000,0.8012,42.729,1,2415,49104,33.3,66.7,44.4,55.6
604,26,512,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0.076000,1989,78,13,4,627,1.4000,0.8012,42.729,1,2415,49104,55.6,44.4,22.2,77.8
604,27,512,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0.076000,1991,78,13,4,627,1.7500,0.8012,42.729,1,2415,49104,33.3,66.7,44.4,55.6
604,28,512,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0.076000,1996,78,13,4,627,1.9100,0.8012,42.729,1,2415,49104,22.2,77.8,33.3,66.7
605,0,512,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0.076000,1991,78,13,4,627,9.7500,0.8012,42.729,1,2415,49104,66.7,33.3,55.6,44.4
605,1,512,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0.076000,1991,78,13,4,627,1.8900,0.8012,42.729,1,2415,49104,44.4,55.6,55.6,44.4
605,2,512,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0.076000,1988,78,13,4,627,9.8200,0.8012,42.729,1,2415,49104,55.6,44.4,33.3,66.7
605,3,512,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0.076000,1991,78,13,4,627,9.4900,0.8012,42.729,1,2415,49104,22.2,77.8,44.4,55.6
605,4,512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074000,1501,64,13,4,623,8.9500,0.6549,34.930,1,2415,49104,88.9,11.1,100.0,0.0
605,5,512,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0.076000,1991,78,13,4,627,9.5900,0.8014,42.740,1,2415,49104,66.7,33.3,33.3,66.7
605,6,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.076000,1984,78,13,4,627,2.2800,0.8019,42.767,1,2415,49104,11.1,88.9,11.1,88.9
605,7,512,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.076000,1991,78,13,4,627,1.5900,0.8016,42.750,1,2415,49104,44.4,55.6,55.6,44.4
605,8,512,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0.076000,1987,78,13,4,627,9.1400,0.8012,42.729,1,2415,49104,33.3,66.7,44.4,55.6
605,9,512,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.076000,1989,78,13,4,627,9.0900,0.8012,42.729,1,2415,49104,55.6,44.4,77.8,22.2
