solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,512,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.073000,1283,81,10,4,165,10.9478,0.6654,35.487,1,2415,49104,0
1,512,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.073000,1290,81,10,4,165,11.1104,0.6654,35.487,1,2415,49104,0
2,512,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.073000,1287,81,10,4,165,17.9120,0.6654,35.490,1,2415,49104,0
3,512,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.073000,1283,81,10,4,165,10.2381,0.6654,35.487,1,2415,49104,0
4,512,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0.073000,1292,81,10,4,165,10.2973,0.6654,35.487,1,2415,49104,0
5,512,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0.073000,1283,81,10,4,165,10.1240,0.6654,35.487,1,2415,49104,0
6,512,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.073000,1288,81,10,4,165,10.9478,0.6654,35.487,1,2415,49104,0
7,512,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0.073000,1288,81,10,4,165,10.2004,0.6654,35.487,1,2415,49104,0
8,512,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.073000,1295,81,10,4,165,17.2908,0.6654,35.487,1,2415,49104,1
9,512,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.073000,1292,81,10,4,165,11.1104,0.6654,35.487,1,2415,49104,0
10,512,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.073000,1290,81,10,4,165,17.9120,0.6654,35.490,1,2415,49104,0
11,512,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.074000,1291,81,10,4,165,10.9684,0.6654,35.487,1,2415,49104,0
12,512,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.074000,1288,81,10,4,165,11.4403,0.6654,35.487,1,2415,49104,0
13,512,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0.073000,1243,81,10,4,156,10.1626,0.6654,35.487,1,2415,49104,0
14,512,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.073000,1239,81,10,4,156,10.6748,0.6654,35.487,1,2415,49104,1
15,512,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.073000,1243,81,10,4,156,10.9402,0.6654,35.487,1,2415,49104,0
16,512,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0.073000,1290,81,10,4,165,10.9300,0.6654,35.487,1,2415,49104,0
17,512,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.073000,1287,81,10,4,165,17.9120,0.6654,35.490,1,2415,49104,0
18,512,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.074000,1292,81,10,4,165,10.9478,0.6654,35.487,1,2415,49104,0
19,512,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0.073000,1243,81,10,4,156,11.6010,0.6654,35.487,1,2415,49104,1
20,512,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.073000,1238,81,10,4,156,17.7993,0.6654,35.490,1,2415,49104,0
21,512,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.073000,1238,81,10,4,156,19.9373,0.6654,35.490,1,2415,49104,0
22,512,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.073000,1243,81,10,4,156,11.4747,0.6654,35.487,1,2415,49104,0
23,512,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.073000,1238,81,10,4,156,20.0710,0.6654,35.490,1,2415,49104,0
24,512,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0.073000,1242,81,10,4,156,10.8459,0.6654,35.487,1,2415,49104,1
25,512,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.073000,1238,81,10,4,156,20.2249,0.6654,35.490,1,2415,49104,1
26,512,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.073000,1238,81,10,4,156,18.2024,0.6654,35.490,1,2415,49104,0
27,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.073000,1229,81,10,4,156,12.1739,0.6654,35.490,1,2415,49104,1
28,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.074000,1281,81,10,4,165,10.5866,0.6565,35.013,1,2415,49104,1
29,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.074000,1271,81,10,4,156,35.4282,0.6842,36.493,1,2415,49104,1
