solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,energy_pJ,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front,sqnr_dB_asreported
0,512,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.038000,917700.0,1427,81,10,4,165,11.1607,0.6591,35.151,1,2415,49104,0,11.1607
1,512,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.039000,941850.0,1462,81,10,4,165,11.9784,0.6554,34.954,1,2415,49104,1,11.9784
2,512,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.038000,917700.0,911,59,6,4,145,10.0148,0.4727,25.212,1,2415,49104,1,10.0148
3,512,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0.031000,748650.0,1516,81,10,4,165,17.3024,0.6666,35.554,1,2415,49104,1,17.3024
4,512,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.030000,724500.0,1510,81,10,4,165,17.8395,0.6675,35.598,1,2415,49104,1,17.8395
5,512,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.039000,941850.0,1452,81,10,4,165,11.4033,0.6554,34.954,1,2415,49104,0,11.4033
6,512,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.030000,724500.0,1510,81,10,4,165,16.5874,0.6675,35.598,1,2415,49104,0,16.5874
7,512,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.032000,772800.0,1516,81,10,4,165,17.4038,0.6666,35.554,1,2415,49104,1,17.4038
8,512,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.028000,676200.0,1424,80,10,4,163,17.2908,0.6593,35.161,1,2415,49104,1,17.2908
9,512,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.031000,748650.0,1509,81,10,4,165,17.9120,0.6675,35.598,1,2415,49104,1,17.9120
10,512,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.042000,1014300.0,1427,81,10,4,165,13.6667,0.6591,35.151,1,2415,49104,0,13.6667
