solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,64,0,0,0,0,0,1,0,1,0,0,0,1,0.073000,810,53,6,4,132,10.1423,0.3031,24.252,1,267,5764,0
1,64,0,0,0,0,0,1,0,1,0,1,0,1,0.073000,810,52,6,4,130,11.1869,0.3028,24.226,1,267,5764,1
2,64,0,0,0,0,0,1,1,1,1,1,1,1,0.073000,1228,75,10,4,152,22.1057,0.4436,35.490,1,267,5764,0
3,64,0,0,0,0,1,1,1,1,1,1,1,1,0.073000,1258,74,10,4,150,23.4900,0.4562,36.493,1,267,5764,0
4,64,0,0,0,1,0,1,0,0,0,1,0,1,0.073000,810,53,6,4,132,10.0656,0.3031,24.252,1,267,5764,0
5,64,0,0,0,1,0,1,0,1,0,0,0,1,0.073000,812,53,6,4,132,10.1423,0.3031,24.252,1,267,5764,0
6,64,0,0,0,1,0,1,0,1,0,1,0,1,0.073000,813,53,6,4,132,11.1869,0.3031,24.252,1,267,5764,0
7,64,0,0,0,1,0,1,1,1,1,1,1,1,0.073000,1227,75,10,4,152,22.1057,0.4436,35.490,1,267,5764,0
8,64,0,0,0,1,1,1,1,1,1,1,1,1,0.073000,1231,75,10,4,152,23.4900,0.4436,35.487,1,267,5764,0
9,64,0,0,1,0,0,1,1,1,1,1,1,1,0.073000,1228,75,10,4,152,22.1057,0.4436,35.490,1,267,5764,0
10,64,0,0,1,0,1,1,1,1,1,1,1,1,0.073000,1228,75,10,4,152,23.4900,0.4436,35.490,1,267,5764,0
11,64,0,0,1,1,1,1,0,1,1,1,1,1,0.073000,1233,75,10,4,152,13.0660,0.4436,35.487,1,267,5764,0
12,64,0,0,1,1,1,1,1,1,1,1,1,1,0.073000,1261,75,10,4,152,23.4900,0.4559,36.469,1,267,5764,0
13,64,0,1,0,1,0,1,0,1,0,1,0,1,0.073000,772,52,6,4,125,10.8851,0.3028,24.226,1,267,5764,1
14,64,0,1,0,1,1,1,1,1,0,1,0,1,0.073000,1182,74,10,4,141,11.6918,0.4436,35.487,1,267,5764,0
15,64,0,1,0,1,1,1,1,1,1,1,1,1,0.073000,1182,74,10,4,141,15.5617,0.4436,35.487,1,267,5764,0
16,64,1,0,0,0,0,1,1,1,1,1,1,1,0.073000,1228,75,10,4,152,22.1057,0.4436,35.490,1,267,5764,0
17,64,1,0,0,0,1,1,1,1,1,1,1,1,0.073000,1228,75,10,4,152,23.4900,0.4436,35.490,1,267,5764,0
18,64,1,0,0,1,0,1,1,1,1,1,1,1,0.073000,1227,75,10,4,152,22.1057,0.4436,35.490,1,267,5764,0
19,64,1,0,0,1,1,1,1,1,1,1,1,1,0.073000,1227,75,10,4,152,23.4900,0.4436,35.490,1,267,5764,1
20,64,1,0,1,0,0,1,0,1,1,1,1,1,0.073000,1225,74,10,4,150,12.7396,0.4436,35.487,1,267,5764,0
21,64,1,0,1,0,1,1,1,1,1,1,1,1,0.073000,1229,74,10,4,150,23.4900,0.4436,35.487,1,267,5764,1
22,64,1,0,1,1,0,1,1,1,1,1,1,1,0.073000,1227,75,10,4,152,22.1057,0.4436,35.490,1,267,5764,0
23,64,1,0,1,1,1,1,1,1,1,1,1,1,0.073000,1231,75,10,4,152,23.4900,0.4436,35.487,1,267,5764,0
24,64,1,1,0,1,1,1,1,1,1,1,1,1,0.073000,1181,75,10,4,143,20.5344,0.4436,35.490,1,267,5764,1
25,64,1,1,1,1,0,1,0,1,1,1,1,1,0.073000,1178,74,10,4,141,16.6665,0.4436,35.487,1,267,5764,1
26,64,1,1,1,1,0,1,1,1,1,1,1,1,0.073000,1181,75,10,4,143,19.0668,0.4436,35.490,1,267,5764,0
27,64,1,1,1,1,1,1,0,1,1,1,1,1,0.073000,1181,75,10,4,143,20.0497,0.4436,35.490,1,267,5764,0
28,64,1,1,1,1,1,1,1,1,0,1,0,1,0.073000,1178,74,10,4,141,13.4503,0.4436,35.487,1,267,5764,0
29,64,1,1,1,1,1,1,1,1,1,1,1,1,0.073000,1211,74,10,4,141,36.8188,0.4562,36.493,1,267,5764,1
