solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,power_W,energy_pJ,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front,sqnr_dB_asreported
0,64,0,0,0,0,0,1,0,1,0,0,0,1,0.032000,85440.0,857,53,6,4,132,10.1423,0.3151,25.207,1,267,5764,0,10.1423
1,64,0,0,0,0,0,1,0,1,0,1,0,1,0.032000,85440.0,864,52,6,4,130,11.1869,0.3150,25.199,1,267,5764,1,11.1869
2,64,0,0,0,0,0,1,0,1,1,1,1,1,0.036000,96120.0,1411,74,10,4,150,12.7396,0.4448,35.585,1,267,5764,1,12.7396
3,64,0,0,0,0,0,1,1,1,1,1,1,0,0.029000,77430.0,1450,75,10,4,152,10.4601,0.4444,35.554,1,267,5764,1,10.4601
4,64,0,0,0,0,0,1,1,1,1,1,1,1,0.037000,98790.0,1420,75,10,4,152,22.1057,0.4448,35.587,1,267,5764,1,22.1057
5,64,0,0,0,0,1,1,0,1,1,1,1,1,0.036000,96120.0,1420,75,10,4,152,13.0660,0.4448,35.587,1,267,5764,1,13.0660
6,64,0,0,0,0,1,1,1,1,1,1,0,0,0.028000,74760.0,1361,75,10,4,152,10.2075,0.4395,35.161,1,267,5764,0,10.2075
7,64,0,0,0,0,1,1,1,1,1,1,1,0,0.030000,80100.0,1455,75,10,4,152,10.8657,0.4444,35.554,1,267,5764,1,10.8657
8,64,0,0,0,0,1,1,1,1,1,1,1,1,0.038000,101460.0,1359,74,10,4,150,23.4900,0.4395,35.161,1,267,5764,1,23.4900
9,64,0,0,0,1,0,1,0,1,0,1,0,1,0.035000,93450.0,860,53,6,4,132,11.1869,0.3151,25.207,1,267,5764,0,11.1869
10,64,0,0,0,1,0,1,1,1,1,1,1,0,0.029000,77430.0,1424,75,10,4,152,10.4601,0.4613,36.903,1,267,5764,0,10.4601
11,64,0,0,1,0,0,1,0,1,1,1,1,1,0.036000,96120.0,1443,75,10,4,152,12.7396,0.4450,35.598,1,267,5764,0,12.7396
12,64,0,0,1,0,1,1,1,1,1,1,0,1,0.035000,93450.0,1444,75,10,4,152,12.3620,0.4450,35.598,1,267,5764,1,12.3620
13,64,0,0,1,0,1,1,1,1,1,1,1,0,0.030000,80100.0,1447,75,10,4,152,10.8657,0.4444,35.554,1,267,5764,1,10.8657
14,64,0,0,1,0,1,1,1,1,1,1,1,1,0.038000,101460.0,1443,75,10,4,152,23.4900,0.4450,35.598,1,267,5764,0,23.4900
15,64,0,0,1,1,0,1,1,1,1,1,1,1,0.039000,104130.0,1431,75,10,4,152,22.1057,0.4443,35.543,1,267,5764,0,22.1057
16,64,0,0,1,1,1,1,1,1,1,1,0,0,0.028000,74760.0,1365,75,10,4,152,10.2075,0.4394,35.151,1,267,5764,1,10.2075
17,64,0,0,1,1,1,1,1,1,1,1,1,0,0.031000,82770.0,1426,75,10,4,152,10.8657,0.4610,36.879,1,267,5764,0,10.8657
18,64,0,0,1,1,1,1,1,1,1,1,1,1,0.040000,106800.0,1365,75,10,4,152,23.4900,0.4394,35.151,1,267,5764,1,23.4900
19,64,0,1,0,1,0,1,0,1,0,1,0,1,0.035000,93450.0,826,52,6,4,125,10.8851,0.3150,25.199,1,267,5764,0,10.8851
20,64,1,0,0,0,0,1,1,1,1,1,1,0,0.029000,77430.0,1450,75,10,4,152,10.4601,0.4444,35.554,1,267,5764,1,10.4601
21,64,1,0,0,0,0,1,1,1,1,1,1,1,0.037000,98790.0,1444,75,10,4,152,22.1057,0.4450,35.598,1,267,5764,0,22.1057
22,64,1,0,0,0,1,1,1,1,1,1,0,1,0.035000,93450.0,1444,75,10,4,152,12.3620,0.4450,35.598,1,267,5764,1,12.3620
23,64,1,0,0,0,1,1,1,1,1,1,1,0,0.030000,80100.0,1450,75,10,4,152,10.8657,0.4444,35.554,1,267,5764,1,10.8657
24,64,1,0,0,0,1,1,1,1,1,1,1,1,0.037000,98790.0,1443,75,10,4,152,23.4900,0.4450,35.598,1,267,5764,1,23.4900
25,64,1,0,1,0,0,1,1,1,1,1,0,1,0.035000,93450.0,1441,75,10,4,152,11.9060,0.4450,35.598,1,267,5764,0,11.9060
26,64,1,0,1,0,0,1,1,1,1,1,1,0,0.030000,80100.0,1450,75,10,4,152,10.4601,0.4444,35.554,1,267,5764,0,10.4601
27,64,1,0,1,0,1,1,1,1,1,1,1,0,0.030000,80100.0,1455,75,10,4,152,10.8657,0.4444,35.554,1,267,5764,1,10.8657
28,64,1,1,0,1,1,1,1,1,1,1,0,1,0.038000,101460.0,1373,75,10,4,143,13.3389,0.4448,35.587,1,267,5764,0,13.3389
29,64,1,1,1,1,1,1,1,1,1,1,1,1,0.041000,109470.0,1312,74,10,4,141,36.8188,0.4395,35.161,1,267,5764,1,36.8188
