generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
1,0,8,0,0,0,0,0,0,0.023000,420,28,6,4,107,12.2000,0.1964,15.715,1,51,924,100.0,0.0,100.0,0.0
1,1,8,1,1,1,1,1,1,0.033000,1294,67,10,4,128,57.1900,0.4372,34.977,1,51,924,0.0,100.0,0.0,100.0
1,2,8,1,1,0,0,0,0,0.024000,1341,67,10,4,137,11.4100,0.4372,34.977,1,51,924,66.7,33.3,66.7,33.3
1,3,8,0,0,1,1,1,1,0.031000,1346,67,10,4,137,27.6500,0.4372,34.977,1,51,924,33.3,66.7,33.3,66.7
1,4,8,1,0,1,0,1,0,0.024000,845,53,10,4,133,12.2000,0.3369,26.956,1,51,924,0.0,100.0,100.0,0.0
1,5,8,0,1,0,1,0,1,0.031000,815,46,6,4,114,14.8600,0.3126,25.007,1,51,924,100.0,0.0,0.0,100.0
1,6,8,0,0,0,0,1,0,0.024000,845,53,10,4,133,12.2000,0.3369,26.956,1,51,924,66.7,33.3,100.0,0.0
1,7,8,1,0,1,0,0,1,0.023000,1259,67,10,4,137,25.9100,0.4412,35.292,1,51,924,33.3,66.7,66.7,33.3
1,8,8,1,1,1,1,0,0,0.023000,1338,66,10,4,135,13.5100,0.4372,34.972,1,51,924,33.3,66.7,33.3,66.7
1,9,8,0,0,1,0,1,1,0.023000,1272,67,10,4,137,27.6500,0.4393,35.144,1,51,924,33.3,66.7,66.7,33.3
1,10,8,0,0,1,1,1,0,0.025000,1277,67,10,4,137,12.2000,0.4393,35.144,1,51,924,33.3,66.7,66.7,33.3
1,11,8,0,1,0,0,1,0,0.024000,1261,67,10,4,137,11.3400,0.4412,35.292,1,51,924,66.7,33.3,66.7,33.3
1,12,8,1,1,1,0,1,0,0.025000,1272,67,10,4,137,11.4100,0.4393,35.144,1,51,924,0.0,100.0,66.7,33.3
1,13,8,1,0,1,1,0,0,0.024000,1278,67,10,4,137,12.2000,0.4393,35.144,1,51,924,33.3,66.7,66.7,33.3
1,14,8,0,0,1,0,0,0,0.024000,845,53,10,4,133,12.2000,0.3369,26.956,1,51,924,66.7,33.3,100.0,0.0
1,15,8,1,1,1,1,0,1,0.031000,1202,67,10,4,128,21.2000,0.4393,35.142,1,51,924,33.3,66.7,0.0,100.0
1,16,8,1,0,1,0,0,0,0.023000,851,52,10,4,131,12.2000,0.3347,26.776,1,51,924,33.3,66.7,100.0,0.0
1,17,8,0,1,1,1,0,1,0.031000,1202,67,10,4,128,14.9100,0.4393,35.142,1,51,924,66.7,33.3,0.0,100.0
1,18,8,0,0,0,1,1,1,0.029000,1254,67,10,4,137,27.6500,0.4393,35.142,1,51,924,66.7,33.3,33.3,66.7
1,19,8,1,1,1,0,0,1,0.030000,1272,67,10,4,137,9.2800,0.4393,35.141,1,51,924,33.3,66.7,33.3,66.7
1,20,8,0,0,0,0,0,1,0.022000,853,46,6,4,119,25.9100,0.3126,25.007,1,51,924,100.0,0.0,66.7,33.3
1,21,8,0,1,1,1,1,0,0.023000,1268,67,10,4,137,12.9200,0.4393,35.141,1,51,924,33.3,66.7,33.3,66.7
1,22,8,0,1,1,0,1,1,0.031000,1270,67,10,4,137,7.3400,0.4393,35.141,1,51,924,33.3,66.7,33.3,66.7
1,23,8,0,1,0,1,0,0,0.022000,851,45,6,4,117,11.3400,0.3126,25.008,1,51,924,100.0,0.0,33.3,66.7
1,24,8,1,0,0,1,0,0,0.024000,1266,67,10,4,137,12.2000,0.4412,35.292,1,51,924,66.7,33.3,66.7,33.3
1,25,8,1,1,0,0,1,1,0.032000,1340,66,10,4,135,10.2500,0.4372,34.972,1,51,924,33.3,66.7,33.3,66.7
2,0,8,1,0,0,0,0,0,0.024000,845,53,10,4,133,12.2000,0.3369,26.956,1,51,924,66.7,33.3,100.0,0.0
2,1,8,0,0,1,0,1,0,0.024000,845,53,10,4,133,12.2000,0.3369,26.956,1,51,924,33.3,66.7,100.0,0.0
2,2,8,0,1,1,0,0,0,0.024000,1261,67,10,4,137,11.2600,0.4412,35.292,1,51,924,66.7,33.3,66.7,33.3
2,3,8,0,1,1,0,1,0,0.024000,1261,67,10,4,137,11.2600,0.4412,35.292,1,51,924,33.3,66.7,66.7,33.3
2,4,8,1,0,0,1,0,1,0.029000,1266,67,10,4,137,25.9100,0.4412,35.292,1,51,924,66.7,33.3,33.3,66.7
2,5,8,0,0,1,1,0,0,0.024000,1346,67,10,4,137,12.2000,0.4372,34.977,1,51,924,66.7,33.3,66.7,33.3
2,6,8,0,0,1,0,0,1,0.023000,1261,67,10,4,137,25.9100,0.4412,35.292,1,51,924,66.7,33.3,66.7,33.3
2,7,8,1,1,1,0,1,1,0.031000,1270,67,10,4,137,10.2500,0.4393,35.141,1,51,924,0.0,100.0,33.3,66.7
2,8,8,1,0,0,1,1,0,0.025000,1264,67,10,4,137,12.2000,0.4412,35.292,1,51,924,33.3,66.7,66.7,33.3
