solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,8,0,0,0,0,0,0,0.073000,963,27,9,4,573,12.2734,0.2395,19.160,1,51,924,1
1,8,0,0,0,0,0,1,0.074000,1311,45,9,4,585,25.7878,0.3522,28.173,1,51,924,1
2,8,0,0,0,0,1,0,0.074000,1449,46,13,4,587,12.2734,0.4162,33.299,1,51,924,0
3,8,0,0,0,0,1,1,0.075000,1933,60,13,4,591,26.3418,0.5256,42.049,1,51,924,0
4,8,0,0,0,1,0,0,0.074000,1315,45,9,4,585,12.2734,0.3522,28.173,1,51,924,0
5,8,0,0,0,1,0,1,0.074000,1315,45,9,4,585,25.7878,0.3522,28.173,1,51,924,0
6,8,0,0,0,1,1,1,0.075000,1918,60,13,4,591,26.3418,0.5301,42.407,1,51,924,0
7,8,0,0,1,0,0,0,0.074000,1449,46,13,4,587,12.2734,0.4162,33.299,1,51,924,0
8,8,0,0,1,0,0,1,0.075000,1913,60,13,4,591,25.7878,0.5301,42.407,1,51,924,0
9,8,0,0,1,0,1,0,0.074000,1449,46,13,4,587,12.2734,0.4162,33.299,1,51,924,0
10,8,0,0,1,0,1,1,0.075000,1913,60,13,4,591,26.3418,0.5301,42.407,1,51,924,0
11,8,0,0,1,1,1,1,0.075000,1938,60,13,4,591,26.3418,0.5256,42.049,1,51,924,0
12,8,0,1,0,1,0,1,0.074000,1273,45,9,4,580,15.0339,0.3522,28.173,1,51,924,1
13,8,0,1,1,1,1,1,0.075000,1865,60,13,4,582,18.3372,0.5301,42.407,1,51,924,0
14,8,1,0,0,0,0,0,0.074000,1449,46,13,4,587,12.2734,0.4162,33.299,1,51,924,0
15,8,1,0,0,0,0,1,0.075000,1913,60,13,4,591,25.7878,0.5301,42.407,1,51,924,0
16,8,1,0,0,0,1,0,0.074000,1449,45,13,4,585,12.2734,0.4162,33.299,1,51,924,0
17,8,1,0,0,0,1,1,0.075000,1915,60,13,4,591,26.3418,0.5301,42.407,1,51,924,0
18,8,1,0,0,1,0,1,0.075000,1918,60,13,4,591,25.7878,0.5301,42.407,1,51,924,0
19,8,1,0,0,1,1,1,0.075000,1920,60,13,4,591,26.3418,0.5301,42.407,1,51,924,0
20,8,1,0,1,0,0,0,0.074000,1449,45,13,4,585,12.2734,0.4162,33.299,1,51,924,0
21,8,1,0,1,0,0,1,0.075000,1915,60,13,4,591,25.7878,0.5301,42.407,1,51,924,0
22,8,1,0,1,0,1,0,0.074000,1449,46,13,4,587,12.2734,0.4162,33.299,1,51,924,0
23,8,1,0,1,0,1,1,0.075000,1913,60,13,4,591,26.3418,0.5301,42.407,1,51,924,0
24,8,1,0,1,1,1,1,0.075000,1918,60,13,4,591,26.3418,0.5301,42.407,1,51,924,0
25,8,1,1,0,0,1,1,0.075000,1931,59,13,4,589,10.4406,0.5256,42.046,1,51,924,0
26,8,1,1,0,1,0,1,0.075000,1865,60,13,4,582,18.6716,0.5301,42.407,1,51,924,0
27,8,1,1,0,1,1,1,0.075000,1868,60,13,4,582,22.2279,0.5301,42.407,1,51,924,0
28,8,1,1,1,1,0,1,0.075000,1868,60,13,4,582,21.2914,0.5301,42.407,1,51,924,0
29,8,1,1,1,1,1,1,0.075000,1886,60,13,4,582,43.8271,0.5256,42.049,1,51,924,1
