solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,power_W,energy_pJ,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front,sqnr_dB_asreported
0,8,0,0,0,0,0,0,0.023000,11730.0,420,28,6,4,107,12.1985,0.1964,15.715,1,51,924,1,12.1985
1,8,0,0,0,0,0,1,0.022000,11220.0,853,46,6,4,119,25.9146,0.3126,25.007,1,51,924,1,25.9146
2,8,0,0,0,0,1,1,0.023000,11730.0,1341,67,10,4,137,27.6496,0.4372,34.977,1,51,924,1,27.6496
3,8,0,0,0,1,0,0,0.024000,12240.0,857,46,6,4,119,12.1985,0.3126,25.007,1,51,924,0,12.1985
4,8,0,0,0,1,0,1,0.029000,14790.0,857,46,6,4,119,25.9146,0.3126,25.007,1,51,924,0,25.9146
5,8,0,0,0,1,1,1,0.029000,14790.0,1254,67,10,4,137,27.6496,0.4393,35.142,1,51,924,0,27.6496
6,8,0,0,1,0,0,1,0.023000,11730.0,1261,67,10,4,137,25.9146,0.4412,35.292,1,51,924,0,25.9146
7,8,0,0,1,0,1,0,0.024000,12240.0,845,53,10,4,133,12.1985,0.3369,26.956,1,51,924,0,12.1985
8,8,0,0,1,0,1,1,0.023000,11730.0,1272,67,10,4,137,27.6496,0.4393,35.144,1,51,924,0,27.6496
9,8,0,0,1,1,0,1,0.029000,14790.0,1254,67,10,4,137,25.9146,0.4393,35.142,1,51,924,0,25.9146
10,8,0,0,1,1,1,1,0.031000,15810.0,1346,67,10,4,137,27.6496,0.4372,34.977,1,51,924,0,27.6496
11,8,0,1,0,0,0,0,0.023000,11730.0,853,46,6,4,119,11.3441,0.3126,25.007,1,51,924,0,11.3441
12,8,0,1,0,1,0,0,0.022000,11220.0,851,45,6,4,117,11.3441,0.3126,25.008,1,51,924,0,11.3441
13,8,0,1,0,1,0,1,0.031000,15810.0,815,46,6,4,114,14.8575,0.3126,25.007,1,51,924,0,14.8575
14,8,0,1,1,1,0,0,0.023000,11730.0,1245,67,10,4,137,11.2119,0.4392,35.137,1,51,924,0,11.2119
15,8,1,0,0,0,0,1,0.023000,11730.0,1261,67,10,4,137,25.9146,0.4412,35.292,1,51,924,0,25.9146
16,8,1,0,0,0,1,0,0.024000,12240.0,851,52,10,4,131,12.1985,0.3347,26.776,1,51,924,0,12.1985
17,8,1,0,0,0,1,1,0.023000,11730.0,1273,67,10,4,137,27.6496,0.4393,35.144,1,51,924,0,27.6496
18,8,1,0,0,1,1,1,0.030000,15300.0,1278,67,10,4,137,27.6496,0.4393,35.144,1,51,924,0,27.6496
19,8,1,0,1,0,0,0,0.023000,11730.0,851,52,10,4,131,12.1985,0.3347,26.776,1,51,924,0,12.1985
20,8,1,0,1,0,0,1,0.023000,11730.0,1259,67,10,4,137,25.9146,0.4412,35.292,1,51,924,0,25.9146
21,8,1,0,1,0,1,0,0.024000,12240.0,845,53,10,4,133,12.1985,0.3369,26.956,1,51,924,0,12.1985
22,8,1,0,1,0,1,1,0.024000,12240.0,1269,67,10,4,137,27.6496,0.4393,35.144,1,51,924,0,27.6496
23,8,1,0,1,1,0,1,0.029000,14790.0,1278,67,10,4,137,25.9146,0.4393,35.144,1,51,924,0,25.9146
24,8,1,1,0,1,0,0,0.023000,11730.0,1245,67,10,4,137,13.2783,0.4392,35.137,1,51,924,0,13.2783
25,8,1,1,0,1,1,0,0.023000,11730.0,1270,67,10,4,137,14.3657,0.4393,35.141,1,51,924,0,14.3657
26,8,1,1,0,1,1,1,0.031000,15810.0,1202,67,10,4,128,22.1031,0.4393,35.142,1,51,924,0,22.1031
27,8,1,1,1,1,0,0,0.023000,11730.0,1338,66,10,4,135,13.5093,0.4372,34.972,1,51,924,0,13.5093
28,8,1,1,1,1,1,0,0.024000,12240.0,1268,67,10,4,137,41.2837,0.4393,35.141,1,51,924,1,41.2837
29,8,1,1,1,1,1,1,0.033000,16830.0,1294,67,10,4,128,57.1886,0.4372,34.977,1,51,924,1,57.1886
